customer_hash,R,F,M,cluster_id,cluster_name
7454fadb,573,1,76.93,1,Lapsed one-time
3dca4e8b,103,2,139.08,2,Loyal core (repeat buyers)
edc8559f,301,1,97.15,0,Recent one-time
99bbd710,778,2,97.89,2,Loyal core (repeat buyers)
50e22902,140,1,94.28,0,Recent one-time
92cd4bc7,95,1,53.63,0,Recent one-time
6e1183bd,194,1,76.84,0,Recent one-time
17fe9220,233,1,220.04,0,Recent one-time
54be5132,623,1,34.77,1,Lapsed one-time
37478621,624,1,80.23,1,Lapsed one-time
a928d322,200,1,104.49,0,Recent one-time
4fedc131,919,1,95.38,1,Lapsed one-time
54460fd0,1056,1,7.44,1,Lapsed one-time
24c53b8b,289,3,226.84,2,Loyal core (repeat buyers)
88dd4f43,1038,1,63.59,1,Lapsed one-time
a59a4ad3,550,1,76.63,1,Lapsed one-time
75dba4c2,1067,1,52.25,1,Lapsed one-time
48725a27,206,1,56.38,0,Recent one-time
99f02faf,351,1,115.68,0,Recent one-time
edbe2c70,586,1,124.19,0,Recent one-time
53a4e6b7,574,1,131.55,0,Recent one-time
cb61abf2,210,1,118.41,0,Recent one-time
1be40ebf,341,1,54.33,0,Recent one-time
fb94e8df,230,1,33.57,0,Recent one-time
70e4e645,23,1,84.58,0,Recent one-time
47b3859a,369,1,116.5,0,Recent one-time
c1bd54a1,139,1,127.62,0,Recent one-time
de9da9b1,900,1,49.09,1,Lapsed one-time
7ec4983f,218,1,149.27,0,Recent one-time
2e66a4ce,265,1,99.58,0,Recent one-time
9297a897,604,1,54.2,1,Lapsed one-time
56d1ca25,1024,1,56.65,1,Lapsed one-time
2ea05108,392,1,89.46,0,Recent one-time
a16c7a75,32,1,83.92,0,Recent one-time
92b7ac6c,979,1,146.49,1,Lapsed one-time
13cb684d,704,2,228.25,2,Loyal core (repeat buyers)
ee0749e9,978,1,51.17,1,Lapsed one-time
d5a6ed58,262,2,262.44,2,Loyal core (repeat buyers)
5cdb6fb2,504,1,53.36,1,Lapsed one-time
a66482b9,264,1,206.78,0,Recent one-time
d033442c,533,1,98.85,0,Recent one-time
f24cf42b,164,1,74.84,0,Recent one-time
73796681,386,1,88.53,0,Recent one-time
eecd1e6c,279,1,117.34,0,Recent one-time
df8c8170,610,1,88.64,1,Lapsed one-time
24064df9,340,1,55.31,0,Recent one-time
b874fedd,411,1,73.14,0,Recent one-time
3f7fd8f4,621,1,49.72,1,Lapsed one-time
22e55868,1056,1,57.66,1,Lapsed one-time
cb5d0323,156,1,82.57,0,Recent one-time
055a7b2f,4,1,135.91,0,Recent one-time
5332907f,314,1,32.68,0,Recent one-time
ce6bfeba,693,1,86.34,1,Lapsed one-time
38ea08e6,205,1,34.49,0,Recent one-time
692b727f,719,3,106.48,2,Loyal core (repeat buyers)
9c9debd5,250,1,79.25,0,Recent one-time
f7f4ccc5,556,1,87.85,0,Recent one-time
ed0bc47e,282,1,96.17,0,Recent one-time
a714b4fd,529,1,45.06,1,Lapsed one-time
cb4a6e0a,324,1,96.58,0,Recent one-time
1c13360c,664,2,79.51,2,Loyal core (repeat buyers)
03d46c27,310,1,82.75,0,Recent one-time
b26bdb08,58,1,118.02,0,Recent one-time
0f38aa99,333,2,134.76,2,Loyal core (repeat buyers)
4858fba6,82,1,81.88,0,Recent one-time
711f1826,1009,1,55.32,1,Lapsed one-time
1f47fa7b,540,1,54.66,1,Lapsed one-time
41e2e446,134,1,98.75,0,Recent one-time
d4a700a3,145,1,74.14,0,Recent one-time
f7e44ec4,261,1,79.69,0,Recent one-time
82ea15bb,1067,1,22.71,1,Lapsed one-time
5df9fd02,788,1,58.63,1,Lapsed one-time
1656b24c,557,1,55.12,1,Lapsed one-time
63bc665d,306,1,130.31,0,Recent one-time
075343ee,574,1,55.54,1,Lapsed one-time
af03314f,294,1,53.76,0,Recent one-time
298f89c6,392,1,99.54,0,Recent one-time
69884dc4,125,2,192.82,2,Loyal core (repeat buyers)
7fca72b6,119,2,103.34,2,Loyal core (repeat buyers)
ed284999,934,1,99.17,1,Lapsed one-time
424419c4,558,1,53.1,1,Lapsed one-time
5f1adde1,311,1,34.6,0,Recent one-time
